0,1,2
編號,手術項目,"手術
給付倍數"
983,陰莖重度創傷修補術,10
984,陰囊水腫切除術,10
985,陰囊異物移除,5
986,陰囊切除術,5
987,芮斯比式治療陰莖彎曲術,10
988,陰囊修補術,5
989,陰囊膿瘍切開引流術,3
990,睪丸切片－單側切開,3
991,睪丸切片－雙側切開,5
992,睪丸切除術－ 單側,5
993,睪丸切除術－ 雙側,10
994,睪丸固定術 － 單側,10
995,睪丸固定術 － 雙側,20
996,隱睪單側睪丸固定術,10
997,隱睪雙側睪丸固定術,20
998,睪丸受傷之縫合或修補,5
999,睪丸惡性腫瘤高位切除術,5
1000,睪丸惡性腫瘤高位切除術併後腹腔淋巴切除術,30
1001,腹腔鏡睪丸切除術,5
1002,副睪丸切除術－ 單側,5
1003,副睪丸切除術－ 雙側,10
1004,輸精管副睪丸吻合術 － 單側,10
1005,輸精管副睪丸吻合術 － 雙側,20
1006,副睪丸膿瘍切開引流,5
1007,輸精管切開單側或雙側,5
1008,精囊全摘除術,10
1009,精索切除,5
1010,精索靜脈瘤手術,5
1011,精索靜脈高位結紮術,10
1012,腹腔鏡精索靜脈曲張結紮,5
1013,前列腺切片－控取式,3
1014,前列腺切片－切開式,5
1015,攝護腺癌根除性攝護腺切除術,30
1016,"攝護腺癌根除性攝護腺切除術併雙側骨盆腔淋
巴切除術",40
1017,被膜下前列腺切除術,20
1018,恥骨下前列腺切除術,20
1019,"經尿道攝護腺切除術－切除之攝護腺重量 5
至 15 公克",20
1020,"經尿道攝護腺切除術－切除之攝護腺重量15
至50公克",30
1021,"經尿道攝護腺切除術－切除之攝護腺重量大於
50公克",30
1022,"雙極前列腺刮除術/汽化術－切除之攝護腺重
量 5公克(含)以上",20
1023,經尿道前列腺切片術,5
1024,前列腺膿瘍切開引流,5
1025,經腹腔前列腺囊腫切除術,5
1026,會陰膿腫切開引流（非產科）,3
1027,會陰修補,3
1028,會陰修補及肛門損傷修補,5
1029,會陰修補及括約肌修補,5
1030,女陰白斑切除術,3
1031,廣泛性外陰膿瘍引流術,3
1032,巴氏腺囊腫造袋術,3
1033,巴氏腺囊切除術,3
1034,"女陰切除術或廣泛性外陰癌組織切除(未合併
皮膚或皮下組織重建)",10
1035,女陰切除術(合併皮膚或皮下組織重建),20
1036,陰蒂切除術,3
1037,陰蒂整形術,3
