0,1,2
編號,手術項目,"手術
給付倍數"
757,肝區域切除術 － 三區域,40
758,肝囊腫或肝膿瘍引流或造袋術,20
759,縫肝術（肝損傷縫合，小於5公分）,20
760,縫肝術及總膽管或膽囊之引流術,30
761,縫肝術（複雜肝損傷之縫合或大於5公分）,20
762,肝動脈結紮,20
763,肝腸吻合,30
764,肝門靜脈分流術,30
765,Warren氏分流術,30
766,右肝葉切除術,40
767,左肝葉切除術,40
768,擴大右肝葉切除術,40
769,擴大左肝葉切除術,40
770,切肝取石術,30
771,肝臟移植,80
772,腹腔鏡肝臟囊腫去頂術,20
773,膽囊造瘻術,20
774,膽管截石術（經十二指腸）,30
775,膽囊切除術,30
776,總膽管空腸吻合術,30
777,膽囊消化管吻合術,20
778,總膽管全切除術,30
779,總膽管切開及Ｔ形管引流,30
780,總膽管切開摘石術及Ｔ形管引流,40
781,膽管成形術,30
782,膽道組織檢查切片術,5
783,總膽管十二指腸吻合術,30
784,肝外膽管成形術,30
785,肝瘻管縫合術,30
786,腹腔鏡膽囊切除術,30
787,ROUX-EN-Y 總肝管腸吻合術,20
788,腹腔鏡膽管截石術,30
789,胰臟膿瘍或胰炎引流術,10
790,胰組織檢查切片,10
791,胰臟腫瘤或囊腫切除或摘除術,20
792,胰臟尾端部分切除術,20
793,胰臟尾端部分切除術-脾臟保留,30
794,胰臟體部分切除術,30
795,胰臟體部分切除術-脾臟保留,30
796,胰瘻切除術,30
797,胰囊腫至腸胃道之內部直接引流吻合術,30
798,胰囊腫至腸胃道之Ｙ型內部吻合術,30
799,胰臟結石去除術,20
800,胰臟次全切除術,30
801,胰臟全切除術,40
802,Whipple 氏胰、十二指腸切除術,50
803,Whipple 氏胰、十二指腸切除術 幽門保留式,50
804,胰臟空腸吻合術,30
805,胰囊腫造袋術,20
806,腹壁膿瘍引流術,5
807,腹壁腫瘤切除術－ 良性,10
808,腹壁腫瘤切除術－ 惡性,30
809,腹壁疝氣修補術－ 併腸切除,20
810,腹壁疝氣修補術－ 無腸切除,20
811,腹壁疝氣修補術，嵌頓性 － 無腸切除,20
812,腹壁疝氣修補術，復發性 － 無腸切除,20
813,鼠蹊疝氣修補術－ 併腸切除,20
814,鼠蹊疝氣修補術－ 無腸切除,20
815,鼠蹊疝氣修補術，嵌頓性－ 無腸切除,20
816,鼠蹊疝氣修補術，復發性－ 無腸切除,20
