0,1,2
編號,手術項目,"手術
給付倍數"
1038,處女膜切開術,3
1039,根治女陰切除術,40
1040,陰道切開探查術或骨盆腔膿腫引流,3
1041,陰道囊腫切除術,5
1042,陰道中膈切除術,3
1043,陰道後穹窿切開術,3
1044,陰道縫合術（縫合陰道損傷，非產科）,5
1045,"陰道會陰縫合術：縫合陰道及會陰損傷 ,
（非產科）",5
1046,前側陰道縫合術,5
1047,後側陰道縫合術,5
1048,前後側陰道縫合術,5
1049,前後側陰道縫合術：包含腸膨出修補術,10
1050,"經陰道骨盆底重建手術(陰道懸吊術，陰道前
後壁修補，不含尿失禁手術)",30
1051,從腹腔進入陰道固定術,10
1052,"經腹腔及陰道合併之骨盆底重建術(含子宮切
除術，陰道懸吊術，陰道前後壁修補但不含尿
失禁手術)",30
1053,"經陰道骨盆底重建手術（含子宮切除術，陰道
懸吊術，陰道前後壁修補含子宮切除術但不含
尿失禁手術）",30
1054,麻醉下之陰道擴張術,3
1055,"腹腔鏡式骨盆腔子宮內膜異位症電燒及切
除 — 輕度：子宮內膜異位症分級指數小於或
等於5分。",10
1056,"腹腔鏡式骨盆腔子宮內膜異位症電燒及切
除 — 中度：子宮內膜異位症分級指數6至40
分。",20
1057,"腹腔鏡式骨盆腔子宮內膜異位症電燒及切
除 — 重度：子宮內膜異位症分級指數大於40
分。",20
1058,陰道切除術 － 陰道部份切除,5
1059,陰道切除術 － 陰道全部切除，陰道式,10
1060,"陰道切除術 － 陰道全部切除，腹式合併陰道
式",10
1061,陰道閉合術,5
1062,"人工陰道重建術 (陰道狹窄或陰道缺失)－無
皮膚移植",20
1063,"人工陰道重建術 (陰道狹窄或陰道缺失)－有
皮膚及大腸等移植",30
1064,初次直腸陰道瘻管修補術,20
1065,再次直腸陰道瘻管修補術,20
1066,尿道陰道瘻管修補術,10
1067,膀胱陰道瘻管修補術,10
1068,從陰道進入之陰道固定術,10
1069,腹腔鏡陰道懸吊術,20
1070,經腹腔之骨盆底重建術,30
1071,陰道人工網膜外露修復術,10
1072,陰道式子宮頸切除術,5
1073,腹式子宮頸切除術,5
1074,根除式子宮頸切除術,40
1075,子宮頸整形術,5
1076,子宮頸縫合術,5
1077,子宮頸殘餘部擴張刮除術,3
1078,子宮頸楔狀切除術,5
1079,子宮頸切斷術,3
1080,子宮頸蒂瘤切除術,3
1081,陰道式殘餘子宮頸切除術,5
1082,腹式殘餘子宮頸切除術,5
1083,經陰道子宮懸吊合併子宮頸部份切除術,20
