0,1,2
編號,手術項目,"手術
給付倍數"
817,股疝氣修補術－ 無腸切除,20
818,腰椎疝氣修補術,20
819,腹腔膿瘍灌洗,3
820,腹腔鏡疝氣修補術,10
821,腹腔內膿瘍引流術治療急性穿孔性腹膜炎,20
822,膈下膿瘍引流術,20
823,骨盆腔膿瘍引流術－ 經腹,10
824,骨盆腔膿瘍引流術－ 經肛門,5
825,剖腹探查術,20
826,腹腔良性腫瘤切除術,20
827,後腹腔良性腫瘤切除術,30
828,腹腔內異物卻除術,10
829,後腹腔剖腹探查術,20
830,腹腔惡性腫瘤切除術,30
831,後腹腔惡性腫瘤切除術併後腹腔淋巴腺摘除術,30
832,腹腔靜脈分流術,20
833,臍尿管或瘻管切除術與部分膀胱切除術,20
834,腹壁損傷修復術 － 簡單,10
835,腹壁損傷修復術 － 廣泛性,30
836,腹壁縫合裂開剜臟術，第二次縫合,10
H、尿、性器,,
837,腎周圍或腎臟腫瘤之引流術,10
838,腎盂切開探查引流或切除,30
839,腎臟切片手術,10
840,腎切除術,20
841,"腎輸尿管切除術，不包括輸尿管膀胱袖口切除
術",30
842,腎輸尿管切除術，包括輸尿管膀胱袖口切除術,30
843,腎部份切除術,30
844,腎囊切除術，單側,10
845,"根治性腎切除術併行淋巴清掃術或合併局部淋
巴切除術",30
846,根治性腎切除術,30
847,根治性腎切除術合併下腔靜脈瘤栓切除術,30
848,腎袋狀成形術,10
849,腎臟固定術：固定式懸掛,10
850,腎臟造瘻術（手術）,10
851,腎內取石及腎盂取石術,20
852,腎鹿角石取石術,30
853,腎縫合術,30
854,腎盂成形術,30
855,腎盂造瘻術,10
856,經皮腎結石取石術,30
857,經PCN腎臟鏡術,10
858,腎臟移植,50
859,腹腔鏡腎切除術,20
860,腎血管肌脂肪瘤摘除術,30
861,萎縮性腎結石截除術,30
862,內視鏡腎盂切開術,10
863,(後)腹腔鏡腎臟囊腫除頂術,10
864,(後)腹腔鏡腎臟輸尿管切除術,30
865,(後)腹腔鏡部分腎臟切除術,30
866,(後)腹腔鏡腎盂取石術,20
867,(後)腹腔鏡腎盂成形術,30
868,(後)腹腔鏡腎臟固定術,10
869,輸尿管除（取）石術－ 上或下1／3 輸尿管,10
870,輸尿管除（取）石術－ 中1／3 輸尿管,10
871,輸尿管切除術，包括膀胱袖口,20
872,輸尿管成形術－ 單側,10
873,輸尿管成形術－ 雙側,20
