0,1,2
編號,手術項目,"手術
給付倍數"
1359,人工水晶體植入術－第二次植入,5
1360,人工水晶體植入術－調整術,5
1361,玻璃體內注射,3
1362,前玻璃體切除術,5
1363,眼前段再造術,5
1364,瞳孔遮斷前玻璃體切開術,5
1365,眼坦部玻璃體切除術－ 簡單,20
1366,眼坦部玻璃體切除術－ 複雜,30
1367,晶體切除術合併玻璃體切除術,30
1368,移位晶體摘除合併玻璃體切除術,30
1369,玻璃體吸引術,3
1370,玻璃體移植術（包括鞏膜切開）,5
1371,原發性玻璃體切除術,20
1372,玻璃體內異物除去術,10
1373,矽油排除術,5
1374,液氣體交換術,3
1375,磁鐵吸除眼內磁性異物（表面）,10
1376,網膜透熱或冷凍法再附著術,10
1377,網膜再附著術及排液術,10
1378,視網膜變性或裂孔，冷凍治療法,5
1379,磁鐵吸除眼內磁性異物（植床）,10
1380,網膜剝離之表面鞏膜切除術,5
1381,光線凝固治療－ 簡單,5
1382,光線凝固治療－ 複雜,20
1383,"眼坦部玻璃體切除術合併光線凝固治療(含微
創手術)",20
1384,"複雜眼坦部玻璃體切除術合併鞏膜切除併植入
或扣壓",30
1385,微創玻璃體黃斑部手術,20
1386,微創複雜性玻璃體切除合併鞏膜扣環手術,30
1387,斜視矯正手術-放鬆及切除-一條,5
1388,斜視矯正手術-放鬆及切除-二條以上,10
1389,眼肌移植術,5
1390,眼肌腱縫合術,5
1391,眼窩剖開探查術,10
1392,眼窩剖開術－ 併膿瘍引流,10
1393,眼窩剖開術－ 併異物或良性腫瘤切除,20
1394,眼窩腫瘤切除術－ 經前方途徑,20
1395,眼窩腫瘤切除術－ 經側方途徑,30
1396,眼窩腫瘤切除術－ 經顱腔途徑,30
1397,眼窩成形術,20
1398,眼窩內容剜除術,20
1399,眼窩減壓術,20
1400,眼窩底修補術,10
1401,眼窩病變切除併骨移植,20
1402,眼瞼良性腫瘤切除術,3
1403,眼瞼惡性腫瘤切除術,5
1404,眼瞼瘤切除術合併眼瞼成形術,10
1405,眼瞼下垂前額懸吊術,10
1406,眼瞼下垂擴筋膜懸吊術,10
1407,眼瞼外翻或內翻植皮術,10
1408,眼瞼乙狀成形術,5
1409,眼瞼外翻矯正手術,5
1410,眼瞼內翻矯正手術,5
1411,簡單眼瞼內翻手術,5
1412,眼瞼裂傷之修補,5
1413,眼緣縫合,3
1414,眥成形術,5
1415,眼瞼縫合,5
1416,眼瞼腫瘤冷凍術 － 良性,3
