0,1,2
編號,手術項目,"手術
給付倍數"
642,十二指腸腫瘤切除,20
643,十二指腸憩室切除或內翻,20
644,十二指腸瘻管閉合,20
645,十二指腸阻塞,20
646,高度選擇性迷走神經切斷術,30
647,迷走神經切斷術,10
648,胃賁門及食道切除再造術,40
649,胃全部切除術併行脾或部份胰切除,40
650,全胃切除及淋巴清除及腸胃重建,40
651,95%胃切除及淋巴清除及腸胃重建,40
652,次全胃切除及淋巴清除及腸胃重建,40
653,胃空腸造口再修正,30
654,殘留胃竇切除術,30
655,胃隔間術,30
656,經十二指腸括約肌成形術,30
657,胃折疊術,20
658,胃固定術(胃扭結),20
659,消化道華達壺腹切開術EPT,30
660,抗胃食道逆流術,30
661,腹腔鏡胃隔間手術,30
662,腹腔鏡胃造瘻術,20
663,腹腔鏡胃亞全切除術,40
664,腹腔鏡胃迷走神經切斷術合併引流術,30
665,(胃.腸道)內視鏡黏膜切除術,5
666,腸粘連分離術,20
667,腸粘連分離術 －併行腸減壓,20
668,腸粘連分離術 －併有腸切除及吻合,30
669,腸外置術（Mikulicz切除）,10
670,腸套疊之還原,20
671,腸套疊還原及腸切除和吻合,30
672,腸套疊還原及腸造口或結腸造口,20
673,良性腸病灶切除術,20
674,邁克氏憩室切除術,20
675,小腸切除術加吻合術,30
676,結腸部分切除術加吻合術,20
677,根治性半結腸切除術加吻合術，升結腸,40
678,降結腸或乙狀結腸切除術加吻合術,30
679,"降結腸或乙狀結腸切除術併行吻合術及淋巴節
清掃",40
680,結腸全切或次全切除術,30
681,結腸全切除術併行直腸切除術及迴腸造口,40
682,單純性結腸造口或腸造口矯正,10
683,複雜性（進入腹腔）結腸造口或腸造口矯正,20
684,蹄形小腸或結腸造瘻管關閉,10
685,經由剖腹術行小腸或結腸造瘻管關閉及吻合,20
686,腸造口術(包括結腸、空腸、永久性小腸),20
687,小腸瘻管關閉術 － 小腸與皮膚,20
688,小腸瘻管關閉術 － 小腸與結腸（或與小腸）,20
689,小腸瘻管關閉術 － 其他器官或包括合併症,30
690,結腸瘻管關閉術 － 結腸與皮膚,20
691,結腸瘻管關閉術 － 胃與結腸(不包括胃切除),20
692,結腸瘻管關閉術 － 胃與結腸(包括胃切除),30
693,結腸瘻管關閉術 － 結腸與其他器官或合併症,30
694,腸吻合術－小腸與小腸（十二指腸）吻合術,20
695,腸吻合術－ 迴腸與結腸吻合術，有間路法,20
696,腸吻合術－ 由小腸閉鎖或狹窄引起,20
697,小腸穿孔縫補術,20
698,腸系膜之縫合及修補,10
699,小腸瘜肉切除術,10
700,小腸折瘻術,20
