0,1,2
編號,手術項目,"手術
給付倍數"
1299,翼狀贅肉複雜切除合併角膜切除,5
1300,角膜縫線拆除術（顯微鏡下）,3
1301,角膜縫合術,5
1302,角膜周邊結膜切開術,3
1303,角膜鞏膜緣環鑽術,3
1304,角膜崁頓異物摘除,3
1305,角膜切除術,5
1306,表層角膜晶體移植術,20
1307,板層角膜移植術,20
1308,穿透性角膜移植術,30
1309,輪部移植術,5
1310,深層前角膜移植,20
1311,角膜內皮移植,20
1312,前房異物取出術,5
1313,診斷性前房水抽吸,3
1314,前房穿刺治療玻璃體脫出,3
1315,前房隅角穿刺,5
1316,前房角切開術,5
1317,前房空氣注入術,3
1318,眼前房血塊清除,5
1319,青光眼鞏膜切開術,5
1320,艾利阿特氏手術,5
1321,後鞏膜切開術併液體吸出,5
1322,後鞏膜切開術，合併磁鐵吸除眼異物,10
1323,後鞏膜切開術，非磁性吸除眼異物,10
1324,眼球穿傷，鞏膜任何方式切除及修復,20
1325,鞏膜切除併植入或扣壓,20
1326,鞏膜覆蓋術,5
1327,鞏膜表面異物除去術,3
1328,鞏膜切除術,5
1329,虹膜切開術,5
1330,虹膜粘連分離術,10
1331,睫狀體冷凍治療,5
1332,睫狀體透熱法,5
1333,小樑切開術,10
1334,小樑切除術,10
1335,光學性虹膜切除術,5
1336,週邊虹膜切除術,5
1337,虹膜鉗頓術,5
1338,角鞏膜虹膜切除術,10
1339,虹膜斷裂之復原,10
1340,睫狀體分離術,5
1341,全虹膜切除術,20
1342,虹膜燒灼,5
1343,虹膜囊腫切除術,10
1344,虹膜牽張術,10
1345,虹膜成形術：固定戳穿（顯微鏡下手術）,5
1346,睫狀體脫出部份之切除,5
1347,睫狀體活體切片,5
1348,前粘連分離術,5
1349,青光眼導管置入術,10
1350,膜性白內障切開術,5
1351,白內障線狀摘出術,5
1352,白內障切囊術,5
1353,水晶體囊切開吸引術,5
1354,水晶體囊外（內）摘除術,10
1355,水晶體囊內（外）摘除術及人工水晶體置入術,10
1356,囊外水晶體超音波乳化術,10
1357,坦部水晶體切除術,10
1358,人工水晶體植入術－第一次植入,3
